P0,P1,P2,P3,P4
SO DELICIOUS,714447390101,0.375,BLUEBERRY,LOW FAT
SO DELICIOUS,714447390201,0.375,BLUEBERRY,LOW FAT
SO DELICIOUS,714447391115,0.375,CHOCOLATE,LOW FAT
SO DELICIOUS,714447390108,0.375,KEY LIME,LOW FAT
SO DELICIOUS,714447391113,0.375,PINA COLADA,LOW FAT
SO DELICIOUS,714447391110,0.375,PLAIN,LOW FAT
SO DELICIOUS,714447390210,0.375,PLAIN,LOW FAT
SO DELICIOUS,714447391111,0.375,MISSING,LOW FAT
SO DELICIOUS,714447391102,0.375,RASPBERRY,LOW FAT
SO DELICIOUS,714447391103,0.375,STRAWBERRY,LOW FAT
SO DELICIOUS,714447391104,0.375,VANILLA,LOW FAT
SO DELICIOUS,714447390204,0.375,VANILLA,LOW FAT
UPSTATE FARMS,017880011301,0.5,CHERRY VANILLA,NONFAT
UPSTATE FARMS,017880011300,0.5,PEACH,NONFAT
UPSTATE FARMS,017880011299,0.5,RASPBERRY,NONFAT
UPSTATE FARMS,017880011297,0.5,STRAWBERRY,NONFAT
UPSTATE FARMS,017880011302,0.5,STRAWBERRY BANANA,NONFAT
VICTORS,72663510011,2,PLAIN,REGULAR
WAKE ROBIN,8195108104,2,MAPLE,WHOLE
WAKE ROBIN,8195108101,2,PLAIN,WHOLE
WAKE ROBIN,8195108100,2,VANILLA,WHOLE
WALLABY DOWN UNDER,71957095001,0.375,MISSING,LOW FAT
WALLABY DOWN UNDER,71957095007,0.375,CARAMEL APPLE,LOW FAT
WALLABY DOWN UNDER,71957095002,0.375,DARK CHOCOLATE,LOW FAT
WALLABY DOWN UNDER,71957095003,0.375,MANGO TANGERINE,LOW FAT
WALLABY DOWN UNDER,71957095005,0.375,PINK GRAPEFRUIT,LOW FAT
WALLABY DOWN UNDER,71957095004,0.375,PEACH PASSION,LOW FAT
WALLABY DOWN UNDER,71957095006,0.375,STRAWBERRIES & CREAM,LOW FAT
WALLABY ORGANIC,71957091007,0.375,BLACK CHERRY,LOW FAT
WALLABY ORGANIC,71957093004,0.375,BLACKBERRY,NONFAT
WALLABY ORGANIC,71957091014,0.375,BANANA VANILLA,LOW FAT
WALLABY ORGANIC,71957091006,0.375,BLUEBERRY,1.5% MILKFAT
WALLABY ORGANIC,71957091016,0.375,MISSING,LOW FAT
WALLABY ORGANIC,71957091017,0.375,KEY LIME,LOW FAT
WALLABY ORGANIC,71957091008,0.375,LEMON,LOW FAT
WALLABY ORGANIC,71957093005,0.375,MISSING,NONFAT
WALLABY ORGANIC,71957091012,0.375,MAPLE,LOW FAT
WALLABY ORGANIC,71957091004,0.375,ORANGE PASSION FRUIT,LOW FAT
WALLABY ORGANIC,71957093010,0.375,PINEAPPLE,NONFAT
WALLABY ORGANIC,71957091002,0.375,PEACH,LOW FAT
WALLABY ORGANIC,71957093002,0.375,PEACH,NONFAT
WALLABY ORGANIC,71957092002,1.6875,PLAIN,LOW FAT
WALLABY ORGANIC,71957091003,0.375,RASPBERRY,LOW FAT
WALLABY ORGANIC,71957093003,0.375,RASPBERRY,NONFAT
WALLABY ORGANIC,71957091001,0.375,STRAWBERRY,LOW FAT
WALLABY ORGANIC,71957093001,0.375,STRAWBERRY,NONFAT
WALLABY ORGANIC,71957093009,0.375,STRAWBERRY GUAVA,NONFAT
WALLABY ORGANIC,71957091013,0.375,STRAWBERRY BANANA,LOW FAT
WALLABY ORGANIC,72957092001,1.6875,VANILLA,LOW FAT
WALLABY ORGANIC,71957091015,0.375,VANILLA,LOW FAT
WALLABY ORGANIC,71957091019,0.375,VANILLA BEAN,LOW FAT
WALLABY ORGANIC,71957093006,0.375,VANILLA BEAN,NONFAT
WALLABY ORGANIC,71957094001,1.6875,VANILLA BEAN,NONFAT
WHITE COW DAIRY,8196881203,0.3438,CHERRY,LOW FAT
WHITE COW DAIRY,8196881202,0.3438,LEMON,WHOLE
WHOLE SOY,616437260021,0.375,APRICOT MANGO,LOW FAT
WHOLE SOY,616437260008,0.375,BLUEBERRY,LOW FAT
WHOLE SOY,616437260007,0.375,CHERRY,LOW FAT
WHOLE SOY,616437260006,0.375,LEMON,LOW FAT
WHOLE SOY,616437260022,0.375,MIXED BERRY,LOW FAT
WHOLE SOY,616437260002,0.375,PEACH,LOW FAT
WHOLE SOY,616437260001,0.375,PLAIN,LOW FAT
WHOLE SOY,616437270001,1.5,PLAIN,NONFAT
WHOLE SOY,616437260004,0.375,RASPBERRY,LOW FAT
WHOLE SOY,616437260003,0.375,STRAWBERRY,LOW FAT
WHOLE SOY,616437260020,0.375,STRAWBERRY BANANA,LOW FAT
WHOLE SOY,616437270002,1.5,VANILLA,LOW FAT
WHOLE SOY,616437260005,0.375,VANILLA,LOW FAT
PRIVATE LABEL,8839999816819,1.125,COTTN CNDY & MLNBRRY,1% MILKFAT
PRIVATE LABEL,8839999815856,1.125,CTN CNDY & RD RSPBRY,LOW FAT
PRIVATE LABEL,8839999816732,0.375,APPLE DELIGHT,LOW FAT
PRIVATE LABEL,8839999816474,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999816012,0.375,APRICOT MANGO,NONFAT
PRIVATE LABEL,8839999816091,0.375,APRICOT MANGO,NONFAT
PRIVATE LABEL,8839999816475,0.375,APRICOT MANGO,LOW FAT
PRIVATE LABEL,8839999817082,0.375,APRICOT MANGO,LOW FAT
PRIVATE LABEL,8839999816359,0.5,APRICOT MANGO,NONFAT
PRIVATE LABEL,8839999816318,0.5,STRAWBERRY BANANA,1% MILKFAT
PRIVATE LABEL,8839999816006,0.375,BANANA STRAWBERRY,LOW FAT
PRIVATE LABEL,8839999817107,0.375,BANANA STRAWBERRY,NONFAT
PRIVATE LABEL,8839999816733,1.5,BANANA STRAWBERRY,FAT FREE
PRIVATE LABEL,8839999815845,0.5,BANANA STRAWBERRY,NONFAT
PRIVATE LABEL,8839999815974,0.5,BANANA STRAWBERRY,NONFAT
PRIVATE LABEL,8839999816599,0.5,BANANA STRAWBERRY,NONFAT
PRIVATE LABEL,8839999816852,0.5,STRAWBERRY BANANA,FAT FREE
PRIVATE LABEL,8839999816360,0.375,BANANA FOSTER,NONFAT
PRIVATE LABEL,8839999816655,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999816654,1.5,MISSING,LOW FAT
PRIVATE LABEL,8839999815504,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999815505,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999815798,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999815820,0.375,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999815924,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816015,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816067,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816094,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816391,0.375,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999816453,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816478,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816765,0.375,BLACK CHERRY,1% LOWFAT
PRIVATE LABEL,8839999816790,0.375,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999816826,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816828,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816869,0.375,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999817109,0.375,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999815600,0.375,BLACK CHERRY,FAT FREE
PRIVATE LABEL,8839999816868,0.375,BLACK CHERRY,FAT FREE
PRIVATE LABEL,8839999817083,0.375,BLACK CHERRY,FAT FREE
PRIVATE LABEL,8839999815556,0.5,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999816014,0.5,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999816284,0.5,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999816600,0.5,BLACK CHERRY,LOW FAT
PRIVATE LABEL,8839999815503,0.5,BLACK CHERRY,NONFAT
PRIVATE LABEL,8839999816256,0.5,BLACK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816016,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999816659,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999815739,0.375,BLACKBERRY CREME,NONFAT
PRIVATE LABEL,8839999815893,0.375,BLACKBERRY,NONFAT
PRIVATE LABEL,8839999815925,0.375,BLACKBERRY,LOW FAT
PRIVATE LABEL,8839999816007,0.375,BLACKBERRY,LOW FAT
PRIVATE LABEL,8839999816139,0.375,BLACKBERRY,1% MILKFAT
PRIVATE LABEL,8839999816345,0.375,BLACKBERRY,LOW FAT
PRIVATE LABEL,8839999816661,0.375,BLACKBERRY,1% MILKFAT
PRIVATE LABEL,8839999816601,0.5,BLACKBERRY,NONFAT
PRIVATE LABEL,8839999816602,0.5,BLACKBERRY,1% MILKFAT
PRIVATE LABEL,8839999816482,0.375,BLUEBERRY COBBLER,NONFAT
PRIVATE LABEL,8839999816663,0.375,BANANA,1% MILKFAT
PRIVATE LABEL,8839999817160,0.5,BANANA,LOW FAT
PRIVATE LABEL,8839999815557,0.375,BANANA,1% MILKFAT
PRIVATE LABEL,8839999816155,0.375,BANANA,NONFAT
PRIVATE LABEL,8839999816141,0.375,BANANA CREAM,NONFAT
PRIVATE LABEL,8839999817062,0.375,BANANA CREAM,NONFAT
PRIVATE LABEL,8839999817105,0.375,BANANA CREAM,LOW FAT
PRIVATE LABEL,8839999815896,0.5,BANANA CREAM,NONFAT
PRIVATE LABEL,8839999815507,0.375,BANANA CREAM PIE,NONFAT
PRIVATE LABEL,8839999816285,0.375,BANANA CREAM PIE,NONFAT
PRIVATE LABEL,8839999816485,0.375,BANANA CREAM PIE,NONFAT
PRIVATE LABEL,8839999816603,0.5,BANANA CREAM PIE,FAT FREE
PRIVATE LABEL,8839999816392,0.375,BANANA MANGO,NONFAT
PRIVATE LABEL,8839999816438,0.375,BANANA MANGO,LOW FAT
PRIVATE LABEL,8839999815975,0.375,MISSING,FAT FREE
PRIVATE LABEL,8839999816095,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999815976,0.5,MISSING,NONFAT
PRIVATE LABEL,8839999816830,0.375,BANANA & STRAWBERRY,1% MILKFAT
PRIVATE LABEL,8839999816648,0.375,BANANA VANILLA,LOW FAT
PRIVATE LABEL,8839999816469,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999815740,0.375,BOSTON CREAM PIE,NONFAT
PRIVATE LABEL,8839999816831,0.375,BANANA SPLIT,1% MILKFAT
PRIVATE LABEL,8839999817169,0.5,BANANA SPLIT,1% MILKFAT
PRIVATE LABEL,8839999815742,0.375,BOSTON CREAM PIE,LOW FAT
PRIVATE LABEL,8839999815511,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815513,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815861,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999816019,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816068,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999816210,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816311,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999816767,0.375,BLUEBERRY,1% LOWFAT
PRIVATE LABEL,8839999816871,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816882,0.375,BLUEBERRY,1.5% MILKFAT
PRIVATE LABEL,8839999816883,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815603,0.375,BLUEBERRY,FAT FREE
PRIVATE LABEL,8839999816870,0.375,BLUEBERRY,FAT FREE
PRIVATE LABEL,8839999815604,1,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815605,2,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999817013,2,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815560,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815606,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815607,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815897,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815898,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816286,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816604,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816664,1.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815559,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815561,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815743,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815744,0.375,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999816124,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816393,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816552,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999816948,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815608,0.5,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999815899,0.5,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816605,0.5,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816186,1.5,BLUEBERRY,FAT FREE
PRIVATE LABEL,8839999815509,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999815745,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999815799,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816017,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816074,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816097,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816274,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816553,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816636,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816817,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999816949,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999817084,0.375,BLUEBERRY,NONFAT
PRIVATE LABEL,8839999817161,0.5,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815666,1,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815512,0.5,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815514,0.5,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999815998,0.5,BLUEBERRY,1% MILKFAT
PRIVATE LABEL,8839999816792,0.375,BLUEBERRY,LOW FAT
PRIVATE LABEL,8839999815867,0.375,BLUEBERRY,99% FAT FREE
PRIVATE LABEL,8839999816394,0.5,BOYSENBERRY,1% MILKFAT
PRIVATE LABEL,8839999815840,0.375,BOYSENBERRY,99% FAT FREE
PRIVATE LABEL,8839999815927,0.375,BOYSENBERRY,1% MILKFAT
PRIVATE LABEL,8839999816157,0.375,BOYSENBERRY,LOW FAT
PRIVATE LABEL,8839999816489,0.375,BOYSENBERRY,LOW FAT
PRIVATE LABEL,8839999816973,0.375,BOYSENBERRY,NONFAT
PRIVATE LABEL,8839999816974,0.375,BOYSENBERRY,1% MILKFAT
PRIVATE LABEL,8839999815609,0.5,BOYSENBERRY,LOW FAT
PRIVATE LABEL,8839999817113,2,BOYSENBERRY,1% MILKFAT
PRIVATE LABEL,8839999815610,1.125,MISSING,MISSING
PRIVATE LABEL,8839999816320,1.125,MISSING,MISSING
PRIVATE LABEL,8839999816813,1.125,MISSING,LOW FAT
PRIVATE LABEL,8839999816395,1.5,MISSING,1% MILKFAT
PRIVATE LABEL,8839999816666,1.5,MISSING,LOW FAT
PRIVATE LABEL,8839999816491,0.375,LIMITED EDITION,LOW FAT
PRIVATE LABEL,8839999816396,0.25,CHOCOLATE CHERRY,LOW FAT
PRIVATE LABEL,8839999817085,0.375,COFFEE,LOW FAT
PRIVATE LABEL,8839999816180,0.375,COFFEE,NONFAT
PRIVATE LABEL,8839999816365,0.375,CHERRY CHEESECAKE,NONFAT
PRIVATE LABEL,8839999816637,0.375,CHOCOLATE,NONFAT
PRIVATE LABEL,8839999815515,0.375,CHERRY,NONFAT
PRIVATE LABEL,8839999815563,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999815721,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999815746,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999815841,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999815862,0.375,CHERRY,1% MILKFAT
PRIVATE LABEL,8839999815869,0.375,CHERRY,99% FAT FREE
PRIVATE LABEL,8839999816008,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999816161,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999816219,0.375,CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816275,0.375,CHERRY,NONFAT
PRIVATE LABEL,8839999816323,0.375,CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816346,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999816649,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999816885,0.375,CHERRY,NONFAT
PRIVATE LABEL,8839999816898,0.375,CHERRY,NONFAT
PRIVATE LABEL,8839999816951,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999816978,0.375,CHERRY,LOW FAT
PRIVATE LABEL,8839999815868,0.375,CHERRY,FAT FREE
PRIVATE LABEL,8839999816977,2,CHERRY,LOW FAT
PRIVATE LABEL,8839999815900,0.5,CHERRY,LOW FAT
PRIVATE LABEL,8839999816162,0.5,CHERRY,LOW FAT
PRIVATE LABEL,8839999816287,0.25,CHERRY,LOW FAT
PRIVATE LABEL,8839999815876,0.5,CHERRY,NONFAT
PRIVATE LABEL,8839999816163,0.5,CHERRY,NONFAT
PRIVATE LABEL,8839999816322,0.5,CHERRY,FAT FREE
PRIVATE LABEL,8839999815846,0.5,CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816220,0.5,CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816853,0.5,CHERRY,LOW FAT
PRIVATE LABEL,8839999816401,0.5,CHERRY VANILLA,1% MILKFAT
PRIVATE LABEL,8839999816854,0.5,CHERRY VANILLA,1% MILKFAT
PRIVATE LABEL,8839999815516,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999815748,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999815800,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999815823,0.375,CHERRY VANILLA,1% MILKFAT
PRIVATE LABEL,8839999816368,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999816398,0.375,CHERRY VANILLA,LOW FAT
PRIVATE LABEL,8839999816400,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999816579,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999816644,0.375,CHERRY VANILLA,1% MILKFAT
PRIVATE LABEL,8839999816793,0.375,CHERRY VANILLA,LOW FAT
PRIVATE LABEL,8839999816888,0.375,CHERRY VANILLA,1.5% MILKFAT
PRIVATE LABEL,8839999816899,0.375,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999816952,0.375,CHERRY VANILLA,LOW FAT
PRIVATE LABEL,8839999817072,0.375,CHERRY VANILLA,FAT FREE
PRIVATE LABEL,8839999816289,0.5,CHERRY VANILLA,LOW FAT
PRIVATE LABEL,8839999817054,0.5,CHERRY VANILLA,LOW FAT
PRIVATE LABEL,8839999815564,0.5,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999815847,0.5,CHERRY VANILLA,NONFAT
PRIVATE LABEL,8839999816369,0.375,COCONUT CREAM PIE,NONFAT
PRIVATE LABEL,8839999816607,0.375,COCONUT CREAM PIE,NONFAT
PRIVATE LABEL,8839999816608,0.5,COCONUT CREAM PIE,NONFAT
PRIVATE LABEL,8839999816669,0.375,CRANBERRY RASPBERRY,.5% MILKFAT
PRIVATE LABEL,8839999815518,0.375,CAPPUCCINO,FAT FREE
PRIVATE LABEL,8839999815979,0.375,CAPPUCCINO,FAT FREE
PRIVATE LABEL,8839999815980,0.5,CAPPUCCINO,NONFAT
PRIVATE LABEL,8839999816671,0.375,CARAMEL CREME,NONFAT
PRIVATE LABEL,8839999816499,0.375,CARAMEL APPLE,NONFAT
PRIVATE LABEL,8839999816979,0.375,CRAN RASPBERRY,NONFAT
PRIVATE LABEL,8839999816021,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999816674,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999816675,0.375,DUTCH APPLE PIE,LOW FAT
PRIVATE LABEL,8839999816167,0.375,DUTCH APPLE,LOW FAT
PRIVATE LABEL,8839999816855,0.5,DUTCH APPLE,LOW FAT
PRIVATE LABEL,8839999816500,0.375,MISSING,NONFAT
PRIVATE LABEL,8839999817018,0.375,DARK CHERRY,NONFAT
PRIVATE LABEL,8839999817019,0.375,DARK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999817020,0.375,DARK CHERRY,1% MILKFAT
PRIVATE LABEL,8839999816371,0.375,FRENCH APPLE,NONFAT
PRIVATE LABEL,8839999816502,0.375,GINGERBREAD,NONFAT
PRIVATE LABEL,8839999816679,0.375,GOJI PASSION FRUIT,LOW FAT
PRIVATE LABEL,8839999815857,1.125,MISSING,LOW FAT
PRIVATE LABEL,8839999816680,0.375,GUAVA,1% MILKFAT
PRIVATE LABEL,8839999816856,0.5,GUAVA,NONFAT
PRIVATE LABEL,8839999816682,0.375,HONEY,1% MILKFAT
PRIVATE LABEL,8839999816683,0.375,HONEY ALMOND,NONFAT
PRIVATE LABEL,8839999817024,0.375,HARVEST PEACH,1% MILKFAT
PRIVATE LABEL,8839999817027,0.375,HARVEST PEACH,1% MILKFAT
PRIVATE LABEL,8839999817022,2,HARVEST PEACH,LOW FAT
PRIVATE LABEL,8839999817023,0.5,HARVEST PEACH,NONFAT
PRIVATE LABEL,8839999817073,0.375,KEYLIME PIE,FAT FREE
PRIVATE LABEL,8839999816507,0.375,KIWI LIME,NONFAT
PRIVATE LABEL,8839999815749,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999815932,0.375,KEY LIME,LOW FAT
PRIVATE LABEL,8839999815961,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999815981,0.375,KEY LIME,FAT FREE
PRIVATE LABEL,8839999816221,0.375,KEY LIME,1% MILKFAT
PRIVATE LABEL,8839999816508,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999816554,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999816900,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999816609,0.5,KEY LIME,LOW FAT
PRIVATE LABEL,8839999815903,0.5,KEY LIME,NONFAT
PRIVATE LABEL,8839999815904,0.5,KIWI STRAWBERRY,NONFAT
PRIVATE LABEL,8839999817088,0.375,KEYLIME,LOW FAT
PRIVATE LABEL,8839999817089,0.375,KEYLIME,NONFAT
PRIVATE LABEL,8839999816610,0.25,KEY LIME PIE,LOW FAT
PRIVATE LABEL,8839999815565,0.375,KEY LIME PIE,NONFAT
PRIVATE LABEL,8839999815613,0.375,KEY LIME PIE,1% MILKFAT
PRIVATE LABEL,8839999815801,0.375,KEY LIME PIE,NONFAT
PRIVATE LABEL,8839999816023,0.375,KEY LIME PIE,NONFAT
PRIVATE LABEL,8839999816290,0.375,KEY LIME,NONFAT
PRIVATE LABEL,8839999816373,0.375,KEY LIME PIE,NONFAT
PRIVATE LABEL,8839999816980,0.375,KEY LIME PIE,LOW FAT
PRIVATE LABEL,8839999817055,0.5,KEY LIME PIE,.5% LOWFAT
PRIVATE LABEL,8839999816258,0.5,KEY LIME PIE,NONFAT
PRIVATE LABEL,8839999815934,0.375,LEMON CHIFFON,NONFAT
PRIVATE LABEL,8839999816144,0.375,LEMON CHIFFON,NONFAT
PRIVATE LABEL,8839999816512,0.375,LEMON CHIFFON,NONFAT
PRIVATE LABEL,8839999817031,0.375,LEMON CHIFFON,1% MILKFAT
PRIVATE LABEL,8839999817032,0.375,LEMON CHIFFON,1% MILKFAT
PRIVATE LABEL,8859999826725,0.375,LEMON CHIFFON,LOW FAT
PRIVATE LABEL,8839999816590,0.5,LEMON CHIFFON,NONFAT
PRIVATE LABEL,8839999816611,0.5,LEMON CHIFFON,NONFAT
PRIVATE LABEL,8839999816857,0.5,LEMON CHIFFON,FAT FREE
PRIVATE LABEL,8839999816796,0.375,LIME,1% MILKFAT
PRIVATE LABEL,8839999816408,0.375,LIME,LOW FAT
PRIVATE LABEL,8839999815617,0.375,LEMON,1% MILKFAT
PRIVATE LABEL,8839999816025,0.375,LEMON,NONFAT
PRIVATE LABEL,8839999816834,0.375,LEMON,1% MILKFAT
PRIVATE LABEL,8839999815614,0.375,LEMON,FAT FREE
PRIVATE LABEL,8839999815750,0.5,LEMON,LOW FAT
PRIVATE LABEL,8839999816513,0.375,LEMON,LOW FAT
PRIVATE LABEL,8839999817090,0.375,LEMON,LOW FAT
PRIVATE LABEL,8839999815616,0.5,LEMON,NONFAT
PRIVATE LABEL,8839999815905,0.5,LEMON,NONFAT
PRIVATE LABEL,8839999815751,0.375,LEMON,NONFAT
PRIVATE LABEL,8839999816374,0.375,LEMON,NONFAT
PRIVATE LABEL,8839999816782,0.375,LEMON,NONFAT
PRIVATE LABEL,8839999817092,0.375,LEMON,NONFAT
PRIVATE LABEL,8839999816798,0.375,LEMON,LOW FAT
PRIVATE LABEL,8839999816514,0.375,LIMITED EDITION,LOW FAT
PRIVATE LABEL,8839999816684,0.375,MANGO,1% MILKFAT
PRIVATE LABEL,8839999816858,0.5,MANGO,NONFAT
PRIVATE LABEL,8839999816687,0.375,MANDARIN ORANGE,NONFAT
PRIVATE LABEL,8839999816650,0.375,MAPLE,LOW FAT
PRIVATE LABEL,8839999815522,0.5,MIXED BERRY,1% MILKFAT
PRIVATE LABEL,8839999815521,0.375,MIXED BERRY,1% MILKFAT
PRIVATE LABEL,8839999815569,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999815802,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816029,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816079,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816105,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999816106,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816107,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816146,0.375,MIXED BERRY,1% MILKFAT
PRIVATE LABEL,8839999816170,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999816193,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999816556,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999816645,0.375,MIXED BERRY,1% MILKFAT
PRIVATE LABEL,8839999816735,0.375,MIXED BERRY,99% FAT FREE
PRIVATE LABEL,8839999816800,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999816891,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999816955,0.375,MIXED BERRY,FAT FREE
PRIVATE LABEL,8839999816956,0.375,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999817093,0.375,MIXED BERRY,NONFAT
PRIVATE LABEL,8839999815717,1,MIXED BERRY,LOW FAT
PRIVATE LABEL,8839999815781,0.5,MIXED BERRY,LOW FAT
